No,manual-categ,ai-categ,manual-categ-name,sub-categ-anme,email-id,comments
1,Logistics Status Inquiry,,物流状态咨询相关,订单未支付,EM2402280165,
2,Logistics Status Inquiry,,物流状态咨询相关,订单未支付,EM2505100024,
3,Logistics Status Inquiry,,物流状态咨询相关,已发货，物流正常,EM2507070221,
4,Logistics Status Inquiry,,物流状态咨询相关,已发货，物流正常,EM2507030244,
5,Logistics Status Inquiry,,物流状态咨询相关,已发货，物流正常,EM2506120003,
6,Logistics Status Inquiry,,物流状态咨询相关,已发货，物流正常,EM2507030244,
7,Logistics Status Inquiry,,物流状态咨询相关,已发货，物流正常,EM2505220150,
8,Logistics Status Inquiry,,物流状态咨询相关,已发货，物流正常,EM2506040116,
9,Logistics Status Inquiry,,物流状态咨询相关,已发货，物流正常,EM2505220150,
10,Logistics Status Inquiry,,物流状态咨询相关,已发货，物流异常,EM2407150164,
11,Logistics Status Inquiry,,物流状态咨询相关,已发货，物流异常,EM2501210204,
12,Logistics Status Inquiry,,物流状态咨询相关,已发货，物流异常,EM2411300004,
13,Logistics Status Inquiry,,物流状态咨询相关,已发货，物流异常,EM2411140078,
14,Logistics Status Inquiry,,物流状态咨询相关,已发货，物流异常,EM2306090266,
15,Logistics Status Inquiry,,物流状态咨询相关,已发货，物流异常,EM2306130221,
16,Logistics Status Inquiry,,物流状态咨询相关,已发货，物流异常,EM2304300004,
17,Logistics Status Inquiry,,物流状态咨询相关,已发货，物流异常,EM2306150218,
18,Logistics Status Inquiry,,物流状态咨询相关,现货订单，仓库处理中,EM2507070211,
19,Logistics Status Inquiry,,物流状态咨询相关,现货订单，仓库处理中,EM2507040334,
20,Logistics Status Inquiry,,物流状态咨询相关,现货订单，仓库处理中,EM2507040149,
21,Logistics Status Inquiry,,物流状态咨询相关,现货订单，仓库处理中,EM2507030197,
22,Logistics Status Inquiry,,物流状态咨询相关,现货订单，仓库处理中,EM2507010133,
23,Logistics Status Inquiry,,物流状态咨询相关,现货订单，仓库处理中,EM2507010412,
24,Logistics Status Inquiry,,物流状态咨询相关,现货订单，仓库处理中,EM2506250094,
25,Logistics Status Inquiry,,物流状态咨询相关,现货订单，仓库处理中,EM2506130054,
26,Logistics Status Inquiry,,物流状态咨询相关,订货订单，未到货但已到交期,EM2505090343,
27,Logistics Status Inquiry,,物流状态咨询相关,订货订单，未到货但已到交期,EM2505260200,
28,Logistics Status Inquiry,,物流状态咨询相关,订货订单，未到货但已到交期,EM2502200441,
29,Logistics Status Inquiry,,物流状态咨询相关,订货订单，未到货但已到交期,EM2506300337,
30,Logistics Status Inquiry,,物流状态咨询相关,订货订单，未到货但已到交期,EM2506300308,
31,Logistics Status Inquiry,,物流状态咨询相关,订货订单，未到货但已到交期,EM2506260302,
32,Logistics Status Inquiry,,物流状态咨询相关,订货订单，未到货但已到交期,EM2504280373,
33,Logistics Status Inquiry,,物流状态咨询相关,订货订单，未到货未到交期,EM2507010174,
34,Logistics Status Inquiry,,物流状态咨询相关,订货订单，未到货未到交期,EM2505160218,
35,Logistics Status Inquiry,,物流状态咨询相关,订货订单，未到货未到交期,EM2503270156,
36,Logistics Status Inquiry,,物流状态咨询相关,订货订单，未到货未到交期,EM2506300225,
37,Logistics Status Inquiry,,物流状态咨询相关,订货订单，未到货未到交期,EM2506250459,
38,Logistics Status Inquiry,,物流状态咨询相关,订货订单，未到货未到交期,EM2506050237,
39,Logistics Status Inquiry,,物流状态咨询相关,订货订单，未到货未到交期,EM2503120364,
40,Logistics Status Inquiry,,物流状态咨询相关,订货订单，已到货未发货,EM2506260161,
41,Logistics Status Inquiry,,物流状态咨询相关,订货订单，已到货未发货,EM2506060191,
42,Pre-shipment Order Interception,,订单拦截相关,改地址,EM2506300098,
43,Pre-shipment Order Interception,,订单拦截相关,改地址,EM2506250022,
44,Pre-shipment Order Interception,,订单拦截相关,改地址,EM2506160162,
45,Pre-shipment Order Interception,,订单拦截相关,增删物料,EM2507030018,
46,Pre-shipment Order Interception,,订单拦截相关,增删物料,EM2507060017,
47,Pre-shipment Order Interception,,订单拦截相关,增删物料,EM2507060064,
48,Pre-shipment Order Interception,,订单拦截相关,取消订单,EM2507070055,
49,Pre-shipment Order Interception,,订单拦截相关,取消订单,EM2507010463,
50,Pre-shipment Order Interception,,订单拦截相关,取消订单,EM2507010009,
